"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Management of Information Support and Automation of Energy Systems based on Artificial Intelligence","Y. Viedienina; L. Sakun; K. Mazharenko; M. Kovalenko","Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine","2023 IEEE 5th International Conference on Modern Electrical and Energy System (MEES)","29 Jan 2024","2023","","","1","6","This article investigates the impact of artificial intelligence (AI) on information support and automation in energy systems. It adopts a multi-method approach, combining literature review, case studies, and data analysis to explore various AI techniques and their applications in the energy sector. The findings show that AI-based tools can enhance the prediction, optimization, extraction, analysis, and recommendation of energy-related data, leading to improved efficiency, reliability, and sustainability of energy systems. The article also discusses AI technologies such as deep learning, reinforcement learning, and Internet of Things (IoT) integration, which offer novel opportunities for information support and automation in the energy sector. The article provides practical recommendations on the implementation of AI tools in energy systems, highlighting best practices and key considerations.","","979-8-3503-5978-7","10.1109/MEES61502.2023.10402493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10402493","artificial intelligence;information support;automation;energy systems;smart energy","Deep learning;Automation;Reinforcement learning;Reliability;Internet of Things;Artificial intelligence;Optimization","","","","29","IEEE","29 Jan 2024","","","IEEE","IEEE Conferences"
"Introduction to AI Assurance for Policy Makers","L. Biersmith; P. Laplante","Graduate School of Public Policy, University of Maryland, College Park, USA; Engineering Penn State, Malvem, USA","2022 IEEE 29th Annual Software Technology Conference (STC)","18 Nov 2022","2022","","","51","56","The deployment of artificial intelligence (AI) applications has accelerated faster than most scientists, policymakers and business leaders could have predicted. AI enabled technologies are facing the public in many ways including infrastructure, consumer products and home applications. Because many of these technologies present risk either in the form of physical injury or unfair outcomes, policy makers must consider the need for oversight. Most policymakers, however, lack the technical knowledge to judge whether an emerging AI technology is safe, effective and requires oversight, therefore depending on experts opinion. But policymakers are better served when, in addition to expert opinion, they have some general understanding of existing guidelines and regulations.While not comprehensive, this work provides an overview of AI legislation and directives at the international, U.S. state and federal levels. It also covers business standards, and technical society initiatives. This work can serve as a resource for policymakers and other key stakeholders and an entry point to their understanding of AI policy.","","978-1-6654-8864-8","10.1109/STC55697.2022.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9951032","artificial intelligence;public policy;critical systems","Consumer products;Legislation;Software;Regulation;Stakeholders;Artificial intelligence;Standards","","","","5","IEEE","18 Nov 2022","","","IEEE","IEEE Conferences"
"Comparative assessment of cyber-physical threats to megacities","J. Dennis; C. Grady; S. Rajtmajer","College of Information Sciences and Technology, Penn State University, University Park, PA, U.S.A.; Department of Civil and Environmental, Engineering and Rock Ethics Institute Penn State University, University Park, PA, USA; Department of Civil and Environmental, Engineering and Rock Ethics Institute Penn State University, University Park, PA, USA","2021 IEEE International Symposium on Technology and Society (ISTAS)","6 Dec 2021","2021","","","1","1","By 2030, forecasts suggest that urban areas will house 60 percent of the world’s population and one in every three people will live in cities with at least half a million inhabitants. Within the same time frame, the number of global megacities is expected to jump from 33 today to 43 in 2030 [1]. Underpinning these large urban areas will be an interconnected network of critical physical infrastructures reliant on Internet-connected Industrial Control Systems and susceptible to increasingly sophisticated, e.g., AI-enabled, cyber threats. In hand, the cyber threat landscape is shifting rapidly. We are seeing a sharp rise in the number of cyberattacks on critical infrastructure [2] with significant impacts cascading across multiple sectors and causing disruption to the provisioning of essential goods and services. Security scholars suggest that these impacts are not always equitable and that disruption to critical infrastructure can affect vulnerable groups differently [3], which further emphasizes the need to improve cybersecurity between critical infrastructure sectors [4]. Through structured analysis of city statistics, demographic information, cyber incidents, and current cyber policy, our presentation will articulate potential social implications of megacity growth through the lens of cyber-physical infrastructure disruption. We investigate the largest 15 megacities in the world and find that megacities continue to grow in population but not in cyber policy. We highlight recent examples of cyber-physical disruption in Mumbai and New York City with focus on implications for vulnerable populations. Our work suggests the need for future research on social responsibility regarding security of these critical infrastructure sectors and on the need for technology-focused law, policy, and regulation guidelines.","2158-3412","978-1-6654-3580-2","10.1109/ISTAS52410.2021.9629170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9629170","critical infrastructure;urbanization;megacities;interconnectivity;interdependency;cyberattacks","Industrial control;Urban areas;Sociology;Regulation;Critical infrastructure;Statistics;Computer crime","","","","4","IEEE","6 Dec 2021","","","IEEE","IEEE Conferences"
"A Behavioral Chatbot Using Encoder-Decoder Architecture : Humanizing conversations","T. Jalaja; D. T. Adilakshmi; M. S. Sharat Chandra; M. Imran Mirza; M. Kumar","Department of CSE, VCE; Department of CSE, VCE; Department of CSE, Vasavi College of Engineering; Department of CSE, Vasavi College of Engg.; Department of CSE, VCE","2022 Second International Conference on Interdisciplinary Cyber Physical Systems (ICPS)","10 Nov 2022","2022","","","51","54","Though there are so many ways of building conversational chatbots, they lack the human touch and sound very robotic. We don’t have any chatbots that aim to imitate even a speck of a personality or human-like traits, while we very well possess everything that we need in terms of data and computation. This project aims to make both efficient and human-like chatbot using the modern encoder-decoder architecture. There are many frameworks and libraries available to develop AI-based chatbots including program-based, rule-based and interface-based. But they lack the flexibility in developing real dialogues and understanding humans. The popular chatbot models don’t aim to hold conversations that imitate real human-like interactions. Current chatbots employ a rule-based approach, basic machine learning algorithms, or a retrieval-based strategy that does not provide humanized outputs, i.e., these chatbots are incapable of producing engaging dialogues. In this paper, we tried to develop a Behavioural chatbot, using modern deep learning techniques like Seq2Seq aiming to develop chatbots to understand humans and make some situation agnostic conversations that remind us of our desirable personalities. This chatbot model was trained on real human conversations extracted out of Hollywood movies, hence the dataset possesses around 2.3 lakh truly organic dialogues. The model was trained with ~4.2 million parameters, 250 epochs and attained an accuracy of 95%. This chatbot is capable of displaying subtle sarcasm and also tries to be funny at times, thanks to the dramatic Hollywood dialogue writers.","","978-1-6654-7022-3","10.1109/ICPS55917.2022.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9941244","Chatbots;Seq2Seq;Encoder-Decoder;LSTM;RNN","Deep learning;Machine learning algorithms;Computational modeling;Buildings;Oral communication;Computer architecture;Chatbots","","2","","9","IEEE","10 Nov 2022","","","IEEE","IEEE Conferences"
"Practical use of Artificial Intelligence for Clinical Staff Other than Physicians","E. Hanada; K. Wada; K. Oda; K. Nishi; K. Kawazoe","Dept. Information Science, Saga University, Saga, Japan; Dept. Information Science, Saga University, Saga, Japan; Dept. of system support, Kimura Information Technology Co. Ltd., Saga, Japan; Dept. of system support, Kimura Information Technology Co. Ltd., Saga, Japan; Dept. of system support, Kimura Information Technology Co. Ltd., Saga, Japan","2018 IEEE 8th International Conference on Consumer Electronics - Berlin (ICCE-Berlin)","16 Dec 2018","2018","","","1","4","Trials to introduce artificial intelligence (AI) in clinical settings have been done for several decades, but the movement toward such introduction remains slow. In the past, AI systems were mainly to support physicians. They were ”rule-based” and specifically designed to assist in diagnosis or to recommend drugs to be prescribed to patients. Current clinical medicine is not performed by a physician acting alone, but through cooperation between staff with various occupations. Kimura Information Technology Co., Ltd. (KIT, Japan) has built a system named ”AI-Q” that works on the Japanese version of IBM's Watson and with which it is possible to build arbitrary problem solving systems. AI-Q was made to serve a variety of purposes, and a system for pharmacists has been built for drug information. In this paper, we illustrate how practical applications of AI can be designed for use by medical staff other than physicians and discuss how the system can be extended to other fields. We converted an AI system previously used to support pharmacists into one for certified clinical engineers (CCE). The purpose of this paper is to give the background of the system for CCE and to evaluate it.","2166-6822","978-1-5386-6095-9","10.1109/ICCE-Berlin.2018.8576166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8576166","Artificial Intelligence;Clinical Medicine;Certified Clinical Engineers;Question and Answer System","Artificial intelligence;Medical diagnostic imaging;Maintenance engineering;Drugs;Reliability;Information technology","","1","","4","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Explainable Artificial Intelligence Methods in Combating Pandemics: A Systematic Review","F. Giuste; W. Shi; Y. Zhu; T. Naren; M. Isgut; Y. Sha; L. Tong; M. Gupte; M. D. Wang","Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Nuclear and Radiological Engineering, Georgia Institute of Technology, Atlanta, GA, USA; School of Biology, Georgia Institute of Technology, Atlanta, GA, USA; Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA; Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA; Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA; Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA","IEEE Reviews in Biomedical Engineering","5 Jan 2023","2023","16","","5","21","Despite the myriad peer-reviewed papers demonstrating novel Artificial Intelligence (AI)-based solutions to COVID-19 challenges during the pandemic, few have made a significant clinical impact, especially in diagnosis and disease precision staging. One major cause for such low impact is the lack of model transparency, significantly limiting the AI adoption in real clinical practice. To solve this problem, AI models need to be explained to users. Thus, we have conducted a comprehensive study of Explainable Artificial Intelligence (XAI) using PRISMA technology. Our findings suggest that XAI can improve model performance, instill trust in the users, and assist users in decision-making. In this systematic review, we introduce common XAI techniques and their utility with specific examples of their application. We discuss the evaluation of XAI results because it is an important step for maximizing the value of AI-based clinical decision support systems. Additionally, we present the traditional, modern, and advanced XAI models to demonstrate the evolution of novel techniques. Finally, we provide a best practice guideline that developers can refer to during the model experimentation. We also offer potential solutions with specific examples for common challenges in AI model experimentation. This comprehensive review, hopefully, can promote AI adoption in biomedicine and healthcare.","1941-1189","","10.1109/RBME.2022.3185953","Wallace H. Coulter Distinguished Faculty Fellowship; Petit Institute Faculty Fellowship; Microsoft Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9804787","COVID-19;electronic health records;expla- inable artificial intelligence;explanation evaluation;explanation generation;explanation representation;medical imaging","Artificial intelligence;COVID-19;Biological system modeling;Data models;Pandemics;Training;Systematics","Humans;Artificial Intelligence;COVID-19;Pandemics;Delivery of Health Care","29","","119","CCBY","23 Jun 2022","","","IEEE","IEEE Journals"
"Curriculum and Training Development in the METIS project","B. Medgyes; B. Illés; O. Krammer; S. Tzanova; S. Gavra","Department of Electronics Technology, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Electronics Technology, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Electronics Technology, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Microelectronics, Technical University of Sofia, Sofia, Bulgaria; SEMI Europe, Brussels, Belgium","2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME)","6 Jan 2022","2021","","","258","263","To improve its competitiveness, the EU microelectronics area needs to overcome critical skills deficits. In this context, METIS (MicroElectronics Training, Industry and Skills) gives an individual European partnership establishing a sustainable structure to: analyze main global biases effecting on the area and offer strategic insights and foresights, predict rising skills demands, identify job rules/jobs of the future, determine important occupational profiles and observe progress in the domain of human capital for microelectronics, develop a Sector Skills Strategy to support the global leadership of the EU microelectronics industry, establishing operational linkages between skills and the future of the area, federate European synergies towards the needs of data-driven technologies such as artificial intelligence (AI) enabled by advanced microelectronics and its skills demands, establish an EU Microelectronics Observatory & Skills Council, plan and produce a modular and blended curriculum, integrating work-oriented learning that uses open education resources (OER), pave the way for the pan-European recognition of innovative Vocational Education and Training (VET), use innovative tools such as industry mentoring to facilitate inter-generational transfer of knowledge in the area, embed social (diversity & inclusion) and environmental sustainability (circular economy) subjects and EU policy aims in the development of workforce.","2642-7036","978-1-6654-2110-2","10.1109/SIITME53254.2021.9663582","Erasmus; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9663582","MicroElectronics;Training development;Modules;Skills","Training;Industries;Leadership;Observatories;Green products;Europe;Learning (artificial intelligence)","","1","","3","IEEE","6 Jan 2022","","","IEEE","IEEE Conferences"
"Two-Wheeler Vehicle Traffic Violations Detection and Automated Ticketing for Indian Road Scenario","R. S. Charran; R. K. Dubey","Department of Management and Studies, Indian Institute of Science, Bengaluru, Karnataka, India; Robert Bosch Engineering and Business Solutions Private Ltd., Bengaluru, Karnataka, India","IEEE Transactions on Intelligent Transportation Systems","8 Nov 2022","2022","23","11","22002","22007","Traffic violation monitoring and control is a major concern in India due to excess crowd, increasing commuters, bad traffic signal management, and rider mentality. It is obvious that physical traffic police-based monitoring alone is insufficient to monitor such large traffic volumes and simultaneously track violations. This has led to many violators going unnoticed. The violators, in turn, cause more serious mishaps on the road resulting in danger to their own life as well as to other’s life. Thus, there is a need for incorporating Artificial Intelligence (AI)-based techniques to eliminate manual intervention for the detection and catching of violators. In this paper, we propose a system to automatically detect two-wheeler violations like not wearing a helmet, usage of a phone while riding, triple riding, wheeling, and illegal parking for Indian road scenarios and eventually automating the ticketing process by capturing the violations and corresponding vehicle number in a database. We propose using a custom trained Yolo-v4 + DeepSORT for violation detection and tracking and Yolo-v4 + Tesseract for number plate detection and extraction. This implementation obtained a mean average precision (mAP) of 98.09% for violation detection and an accuracy of 99.41% for number plate detection on the test data. Further, the system detected 77 out of 93 violations with zero false positives in real-life scenarios. Thus,showing that the traffic violation system developed can be used to automate traffic violation ticketing. The developed system would be particularly useful in deriving various safety-related policies and will help to enforce strong regulation of traffic rules and build towards a smart city ecosystem via the automated AI-based traffic violation and ticketing system.","1558-0016","","10.1109/TITS.2022.3186679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9827996","Artificial intelligence (AI);detection;smart city;traffic violation","Head;Safety;Feature extraction;Object detection;Detectors;Monitoring;Roads","","14","","19","IEEE","12 Jul 2022","","","IEEE","IEEE Journals"
"Towards a Data Engineering Process in Data-Driven Systems Engineering","P. Petersen; H. Stage; J. Langner; L. Ries; P. Rigoll; C. Philipp Hohl; E. Sax","FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany","2022 IEEE International Symposium on Systems Engineering (ISSE)","10 Jan 2023","2022","","","1","8","Highly Automated Driving (HAD) has become one of the leading trends in the automotive industry. Mandatory tasks like environment perception and scene understanding challenge existing rule-based methods. Thus, data-driven technologies and Artificial Intelligence (AI) have been introduced to automotive software development. Utilizing data in the development process has become essential as these systems are no longer developed with classical systems engineering methods, but rather by deriving requirements from and training the algorithms with recorded real-world data. This entails the introduction of data-driven workflows and data-management as new aspects of Automotive Systems Engineering (ASE). Tasks related to the development of Artificial Intelligence (AI) software differ from their classical engineering and programming counterparts. Thus, engineers require new tools and methods for developing safe and accurate AI-based software and handling data efficiently during ASE. Another important aspect of data-driven development is ensuring data quality throughout the systems engineering process. Hence, this paper aims to take a step towards the introduction of a data engineering process in data-driven automotive systems engineering. Putting a spotlight on developing well-designed data sets as the central element for training and validating AI-based software. Besides determining the quality of data sets, we present steps towards improving data and data set quality.","2687-8828","978-1-6654-8182-3","10.1109/ISSE54508.2022.10005441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005441","automotive systems engineering;data-driven development;ai-engineering","Training;Industries;Software algorithms;Programming;Data engineering;Market research;Software","","2","","38","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Dimmer: Self-Adaptive Network-Wide Flooding with Reinforcement Learning","V. Poirot; O. Landsiedel","Kiel University, Germany; Kiel University, Germany","2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS)","4 Oct 2021","2021","","","293","303","The last decade saw an emergence of Synchronous Transmissions (ST) as an effective communication paradigm in low-power wireless networks. Numerous ST protocols provide high reliability and energy efficiency in normal wireless conditions, for a large variety of traffic requirements. Recently, with the EWSN dependability competitions, the community pushed ST to harsher and highly-interfered environments, improving upon classical ST protocols through the use of custom rules, hand-tailored parameters, and additional retransmissions. The results are sophisticated protocols, that require prior expert knowledge and extensive testing, often tuned for a specific deployment and envisioned scenario. In this paper, we explore how ST protocols can benefit from self-adaptivity; a self-adaptive ST protocol selects itself its best parameters to (1) tackle external environment dynamics and (2) adapt to its topology over time. We introduce Dimmer as a self-adaptive ST protocol. Dimmer builds on LWB and uses Reinforcement Learning to tune its parameters and match the current properties of the wireless medium. By learning how to behave from an unlabeled dataset, Dimmer adapts to different interference types and patterns, and is able to tackle previously unseen interference. With Dimmer, we explore how to efficiently design AI-based systems for constrained devices, and outline the benefits and downfalls of AI-based low-power networking. We evaluate our protocol on two deployments of resource-constrained nodes achieving 95.8 % reliability against strong, unknown WiFi interference. Our results outperform baselines such as non-adaptive ST protocols (~27%) and PID controllers, and show a performance close to hand-crafted and more sophisticated solutions, such as Crystal (~99 %).","2575-8411","978-1-6654-4513-9","10.1109/ICDCS51616.2021.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546507","low-power wireless networks;synchronous transmissions;reinforcement learning;deep Q-network;WSN;IoT","Protocols;Wireless networks;Interference;Reinforcement learning;Crystals;Energy efficiency;Reliability","","2","","32","IEEE","4 Oct 2021","","","IEEE","IEEE Conferences"
"safe.trAIn – Engineering and Assurance of a Driverless Regional Train","M. Zeller; M. Rothfelder; C. Klein","Siemens AG, Munich, Germany; Siemens AG, Munich, Germany; Siemens AG, Munich, Germany","2023 IEEE/ACM 2nd International Conference on AI Engineering – Software Engineering for AI (CAIN)","4 Jul 2023","2023","","","197","197","Traditional automation technologies alone are not sufficient to enable the fully automated operation of trains. However, Artificial Intelligence (AI) and Machine Learning (ML) offers great potential to realize the mandatory novel functions to replace the tasks of a human train driver, such as obstacle detection on the tracks. The problem, which still remains unresolved, is to find a practical way to link AI/ML techniques with the requirements and approval processes that are applied in the railway domain. The safe.trAIn project aims to lay the foundation for the safe use of AI/ML to achieve the driverless operation of rail vehicles and thus addresses this key technological challenge hindering the adoption of unmanned rail transport. The project goals are to develop guidelines and methods for the reliable engineering and safety assurance of ML in the railway domain. Therefore, the project investigates methods to reliable design ML models and to prove the trustworthiness of AI-based functions taking robustness, uncertainty, and transparency aspects of the AI/ML model into account.","","979-8-3503-0113-7","10.1109/CAIN58948.2023.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164744","Driverless regional train;AI/ML engineering processes;safety approval;rail;autonomous driving","Rails;Uncertainty;Reliability engineering;Rail transportation;Robustness;Software reliability;Safety","","","","0","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Practical Reinforcement Learning for Adaptive Photolithography Scheduler in Mass Production","E. Kim; T. Kim; D. Lee; H. Kim; S. Kim; J. Kim; W. Kim; E. Kim; Y. Jin; T. -E. Lee","Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Department of Industrial and Systems Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Department of Industrial and Systems Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Mechatronics Technology Research Center, Samsung Display Co. Ltd, 1, Samsung-ro, Yongin-si, Republic of Korea; Department of Industrial and Systems Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea","IEEE Transactions on Semiconductor Manufacturing","","2023","PP","99","1","1","This work introduces a practical reinforcement learning (RL) techniques to address the complex scheduling challenges in producing Active Matrix Organic Light Emitting Diode displays. Specifically, we focus on autonomous optimization of the photolithography process, a critical bottleneck in the fabrication. This provides an outperforming scheduling method compared with the existing rule-based approach which requires diverse rules and engineer experience on adapting dynamic environments. Our purposing RL network was designed to make effective schedules aligning with layered structures of the planning and scheduling modules for mass production. In the training phase, historical production data is utilized to create a representative discrete event simulation environment. The RL agent, based on the Deep Q-Network, undergoes episodic training to learn optimal scheduling policies. To ensure safe and reliable scheduling decisions, we further introduce action filters and parallel competing schedulers. The performance of RL-based Scheduler (RLS) is compared to the Rule-Based Scheduler (RBS) over actual fabrication in a year-long period. Based on Key performance indicators, we validate the RLS outperforms the RBS, with a remarkable improvement in step target matching, reduced setup times, and enhanced lot assignments. This work also paves a way for the gradual integration of AI-based algorithms into smart manufacturing practices.","1558-2345","","10.1109/TSM.2023.3336909","Samsung Display Co. LTD.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10330650","active matrix light emitting diode display;photolithography;reinforcement learning;scheduling","Job shop scheduling;Manufacturing;Active matrix organic light emitting diodes;Lithography;Fabrication;Production;Backplanes","","","","","IEEE","28 Nov 2023","","","IEEE","IEEE Early Access Articles"
"An Integrated Expert System with a Supervised Machine Learning based Probabilistic Approach to Play Tic-Tac-Toe","M. S. K. Inan; R. Hasan; T. T. Prama","Dept. of Computer Science & Engineering, East Delta University, Chittagong, Bangladesh; Dept. of Computer Science & Engineering, East Delta University, Chittagong, Bangladesh; Dept. of Computer Science & Engineering, Jahangirnagar University, Dhaka, Bangladesh","2021 IEEE 12th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","10 Jan 2022","2021","","","0116","0120","Tic-Tac-Toe, also known as Noughts and Crosses, is a widely popular game among people of all ages. In recent times, due to the rapid development of Artificial Intelligence (AI) based algorithms, AI in Games has become an interesting topic for research in both academia and industry. Due to the complicated yet competent nature of AI algorithms, the design and implementation of such AI-driven approaches in games are challenging and time intensive. In this regard, we propose a supervised Machine Learning (ML)-based approach that contributes in designing an innovative and less complex Tic-Tac-Toc expert system. Integrating AI and ML in the solution process will lead the concerned community toward a more lightweight and computationally efficient systems for playing games. In this study, we propose a novel algorithmic solution by combining an ensemble-based boosting approach and rule-based inference to build a probabilistic expert system that strategically chooses the best optimal move for next possible state of the game. A benchmark dataset containing 255,168 unique game states of Tic Tac Toe was utilized at training stage. The proposed strategy is able to successfully settle a draw against never-loosing MiniMax algorithm in 18 standard test cases.","","978-1-6654-0690-1","10.1109/UEMCON53757.2021.9666728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9666728","noughts and crosses;machine learning in games;xgboost;tic tac toe;ai in games","Training;Machine learning algorithms;Merging;Games;Reinforcement learning;Probabilistic logic;Mobile communication","","3","","22","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
"An Energy Management Strategy in Hybrid Electric Vehicles: The Present and The Future Scenario","S. G; M. N. A; S. M. K; M. P. S; G. C; S. R","Dept of Electronics and Instrumentation Engineering, Kumraguru College of Technology, Coimbatore, India; Dept of Electronics and Instrumentation Engineering, Kumraguru College of Technology, Coimbatore, India; Dept of Electronics and Instrumentation Engineering, Kumraguru College of Technology, Coimbatore, India; Dept of Electronics and Instrumentation Engineering, Kumaraguru College of Technology, Coimbatore, India; Dept of Computer and Communication Engineering, Rajalakshmi Institute of Technology, Chennai, India; Dept of Electrical and Electronics Engineering, Sri Ramakrishna College of Engineering, Coimbatore, India","2023 2nd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)","7 Aug 2023","2023","","","1","5","There has been a significant increase in interest towards ""The electrification of transportation"" in the past decade. The environmental crisis caused due to global warming and the depletion of oil supplies are factors that have made the automobile sector adopt strategies to produce eco-friendly, sustainable vehicles instead of their commercial fuel propelled vehicles. Most governments have expressed their interest in alleviating the environmental impact caused due to vehicle pollution by introducing various policies that eventually help people switch to Electric Vehicles (EV). Though there has been a surge of interest among people to adopt environmentally friendly, economically affordable electric vehicles, the major concern is the state of charge and range offered by these EVs. The global automobile sector has started to invest in research dedicated to the energy management system in EVs to overcome these issues. The emergence of artificial intelligence (AI) and the advancement of control systems are clear signs for developing smart-energy management systems in EV. This paper reviews the methods of energy storage and usage in EV following the various Energy Management Systems (EMS) present in EV such as Rule-based EMS and Optimization-based EMS and its types. Also, it gives an insight into the emergence of futuristic AI-based chips that would revolutionize the energy-management system in E-vehicles.","","979-8-3503-0681-1","10.1109/ICAECA56562.2023.10200140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10200140","Artificial Intelligence(AI);Battery Electric Vehicles(BEV);Artificial Neural Network(ANN);Plug in Hybrid EV(PHEV);Distributed Drive EV(DDEV);State of Charge(SOC);Energy Management System(EMS);Fuzzy Logic;Hybrid Electric Vehicle(HEV);Smart grid;Virtual Power Plant(VPP);Internal Combustion Enginer(ICE)","Torque;Wind energy;Transportation;Batteries;Telecommunication computing;Hybrid electric vehicles;Automobiles;Climate change;Energy management","","","","12","IEEE","7 Aug 2023","","","IEEE","IEEE Conferences"
"Melanoma Boundaries Detection Techniques using Artificial Intelligence","K. J. Velmurugan; P. Srinivasan; A. Gayathri; S. Yuvarani","Department of Computer Science and Engineering, Jeppiaar Engineering College, Chennai, Tamil Nadu, India; Department of Electronics and Communication Engineering, Sona College of Technology, Salem, Tamil Nadu, India; Department of CSE, Saveetha School of Engineering, Saveetha Insititute of Medical And Technical Sciences (SIMATS), Chennai, Tamil Nadu, India; Department of Computer Applications, Thanthai Hans Roever College (Autonomous), Perambalur, Tamil Nadu, India","2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS)","27 Mar 2023","2023","","","647","651","Melanoma is the 6th most successive disease in the United States, with more than 9000 individuals kicking the bucket every year. Fast acknowledgment of melanoma expands an individual's life expectancy, but further developed analytic advancements are as yet required. Skin injury limit anomaly, which addresses the ""B"" includes in the ""ABCD rule"", is viewed as a critical clinical component for the early discovery of melanoma. What's more, blue-white line structure evacuation additionally further develops the identification proficiency. In this paper, an AI based location method for distinguishing skin injury limit inconsistencies is presented. The technique involves extricating the skin injury from the dermoscopic images, recognizing the skin sore line, estimating line inconsistency, and prepared famous directed learning models called SVM, RF, DT, and gathering move learning calculations to distinguish line anomaly naturally, bringing about a true choice on whether the skin sore boundary is customary or unpredictable. The method produces excellent results, with 92.6 percent accuracy, 91.3 percent sensitivity, 92.5 percent specificity, and 95.1 percent F-Score, respectively.","","978-1-6654-6216-7","10.1109/ICAIS56108.2023.10073936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073936","Boundary detection;Dermoscopic images;Melanoma;Machine learning;Skin lesion segmentation;Support vector machine;Random Forest;Decision tree","Support vector machines;Radio frequency;Sensitivity;Image recognition;Melanoma;Skin;Power capacitors","","","","15","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
